IRREGULAR VERBS
357

Present          Past           P.P.
* spoil          spoilt         spoilt
build            built          built
gild             gilt           gilt (gilded)
* gird           girt           girt
bend             bent           bent
lend             lent           lent
rend             rent           rent
send             sent           sent
spend            spent          spent
make             made [meid]    made [meid]
say              said [sed]     said [sed]
lay              laid [leid]    laid [leid]
pay              paid [peid]    paid [peid]
have             had            had
hear             heard          heard
shoe (rare)      shod (rare)    shod
lose             lost           lost
sell             sold           sold
tell             told           told
buy              bought         bought
fight            fought         fought
bring            brought        brought
think            thought        thought
seek             sought         sought
teach            taught         taught
catch            caught         caught
sit              sat            sat
stand            stood          stood
understand       understood     understood
win              won [wAn]      won [wAn]
spin             spun           spun
wind [waind]     wound [waund]  wound [waund]
find             found          found
grind            ground         ground
shine            shone          shone
sing             sang (sung)    sung
spring           sprang (sprung) sprung
